804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12192,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12193,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12194,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12195,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12196,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12197,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12198,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12199,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12200,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12201,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,CODAZZI - AGUSTIN CODAZZI,168488,12202,14,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12217,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12218,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12219,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12220,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12221,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12222,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12223,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12224,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,1,BOGOTA,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SURATA,168494,12225,9,09/12/2011,9,DESPOSTE,9,DESPOSTE,357,TRANSVIJAGUAL,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SIMACOTA,168480,21427,15,09/12/2011,9,DESPOSTE,9,DESPOSTE,F39J,TRANSVIJAGUAL,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SIMACOTA,168480,21433,15,09/12/2011,9,DESPOSTE,9,DESPOSTE,F39J,TRANSVIJAGUAL,M
804.002.981,FRIGORIFICO VIJAGUAL S.A.,SIMACOTA,168480,21434,15,09/12/2011,9,DESPOSTE,9,DESPOSTE,F39J,TRANSVIJAGUAL,M
